Semester,Semester#,Tech.Con.#,Nationality,EthnicRace,Age,Sex,Attendance,AtteLev,Motivation,SelfConfidence,Pretest,Postest,Quiz,SkillTest,Performance,Satisfaction1,Satisfaction2,TranTrai,AcqKno,LevSat,DegSat
Semester1,1,TC01,Indian,Asian,21,1,95,1,22,50,5,14.6,45.82,95,59,98,99,35,4,5,1
Semester1,1,TC02,American,Caucasian,22,1,90,1,92,50,7.4,13.2,41.37,93,54,98,91,35,4,5,1
Semester1,1,TC03,American,Caucasian,20,1,96,1,98,45,7.4,13.7,57.79,80,60,48,65,35,4,3,0
Semester1,1,TC04,American,Caucasian,18,1,74.2820512820513,1,94,49,2,12,38.97,89,47,100,90,35,3,5,1
Semester1,1,TC05,American,Caucasian,19,1,25,2,92,19,6.4,3,45.52,47,38,100,100,35,3,5,1
Semester1,1,TC06,American,Caucasian,23,1,85,1,90,57,5,12,30.02,80,63,99,75,40,4,5,1
Semester1,1,TC07,American,Caucasian,21,1,74.2820512820513,1,79,50,9.4,14.7,60.01,97,66,90,70,30,4,5,1
Semester1,1,TC08,Indian,Asian,20,1,90,1,97,55,8,13.4,56.21,93,54,100,100,30,4,5,1
Semester1,1,TC09,American,Caucasian,21,1,71,1,35,55,5,12,49.46,51,48,90,95,44,3,5,1
Semester1,1,TC10,Pakistan,Asian,22,1,74.2820512820513,2,8,36,3.4,6.8,45.12,47,12,85,100,43,2,5,1
Semester1,1,TC11,American,Caucasian,21,1,63,1,88,78,7.4,9.4,71.49,75,26,95,90,36,3,5,1
Semester1,1,TC12,Indian,Asian,19,1,70,1,55,79,5.54873949579832,10.7,88.41,55,40,100,100,45,3,5,1
Semester1,1,TC13,American,Caucasian,22,1,80,1,50,55,3.4,12.1,86.67,68,50,92,70,46,4,5,1
Semester1,1,TC14,American,Caucasian,21,1, ,1,19,47,7.4,8.7,76.42,74,75,98,95,35,3,5,1
Semester1,1,TC15,American,Caucasian,20,1,94,1,17,79,7,14.2,83.14,95,58,68,100,30,4,4,1
Semester1,1,TC16,Panamani,Latin/His,20,2,95,1,90,12,4,15.3,87.48,99,60,98,98,47,4,5,1
Semester1,1,TC17,American,Latin/His,21,2,40,2,67,42,4,6.4,43.46,55,45,100,95,35,2,5,1
Semester1,1,TC18,American,Caucasian,19,2,30,2,45,75,5,4,47.05,39,43,95,98,42,3,5,1
Semester1,1,TC19,American,Caucasian,19,2,96,1,84,31,5,14.7,67.26,95,60,98,95,42,4,5,1
Semester1,1,TC20,American,Korean,19,2,27,2,9,53,5,5.4,50.82,61,30,95,72,75,2,5,1
Semester1,1,TC21,Chinese,Asian,25,2,97,1,66,48,7.4,18,85.26,65,64,98,100,31,4,5,1
Semester1,1,TC22,American,Caucasian,22,2,30,2,59,48,9.4,5.5,75.24,50,10,74,20,53,2,4,1
Semester1,1,TC23,American,Caucasian,19,2,30,2,90,45,5,7,48.73,30,50,99,87,30,4,5,1
Semester1,1,TC24,American,Caucasian,20,2,10,2,58,81,4,3.4,30.02,53,10,19,100,30,1,1,0
Semester1,1,TC25,American,Asian,19,2,95,1,65,85,5.4,15.4,78.67,70,73,85,91,45,4,5,1
Semester1,1,TC26,American,Caucasian,24,2,80,1,49,39,4,10.1,73.45,40,50,20,98,35,4,1,0
Semester1,1,TC27,Indian,Asian,20,2,70,1,50,98,5,10.9,63.33,82,41,40,91,85,3,2,0
Semester1,1,TC28,American,Asian,21,2,70,1,45,76,5,9.4,56.79,60,17,60,51,39,3,3,1
Semester1,1,TC29,American,Caucasian,21,2,60,1,82,67,4,9.5,54.2,65,20,80,60,39,3,4,1
Semester1,1,TC30,India,Asian,19,2,98,1,65,97,5,20,50.9,85,67,100,90,48,4,5,1
Semester2,2,TC31,American,Italian,21,1,57,1,23,80,3.4,7.5,48.11,81,37,100,91,76,4,5,1
Semester2,2,TC32,American,Asian,19,1,99,1,50,60,9,18,61,80,69,89,91,35,4,5,1
Semester2,2,TC33,American,Caucasian,22,1,98,1,30,70,6,19.5,42.19,70,68,97,90,83,4,5,1
Semester2,2,TC34,American,Caucasian,20,1,99,1,40,71,8,19,60.17,83,70,90,95,75,4,5,1
Semester2,2,TC35,American,Filipine,21,1,90,1,76,41,2.7,13.4,56.71,93,55,58,100,35,4,3,1
Semester2,2,TC36,Panamanian,Latin/His,21,1,90,1,34,100,12,15.4,51.79,50,71,89,70,35,4,5,1
Semester2,2,TC37,American,Caucasian,16,1,99,1,55,37,4,16,44.79,65,72,90,90,70,4,5,1
Semester2,2,TC38,Filipino,Asian,20,1,99,1,6,60,11,16.5,46.6,68,72,100,95,42,4,5,1
Semester2,2,TC39,American,Black,19,1,90,1,9,60,6.1,13.4,41.1,93,55,90,100,41,4,5,1
Semester2,2,TC40,American,Caucasian,19,1,90,1,45,68,3.4,17.5,37.07,75,75,99,75,100,4,5,1
Semester2,2,TC41,American,Caucasian,31,1,90,1,75,30,1.3,13.7,52.51,93,55,100,100,37,4,5,1
Semester2,2,TC42,American,Italian,21,1,80,1,64,52,4.7,15,44.56,60,50,66,90,20,4,4,1
Semester2,2,TC43,Thailand,Asian,20,1,82,1,58,39,3,15.9,42.94,80,75,96,100,40,4,5,1
Semester2,2,TC44,American,Caucasian,19,1,80,1,62,84,7.2,17,46.96,87,78,100,97,40,5,5,1
Semester2,2,TC45,American,Chinese,18,1, ,1,55,93,5.8,16.3,52.11,88,81,96,100,30,5,5,1
Semester2,2,TC46,Indonesia,Asian,23,2,100,1,62,68,5.8,18,53.22,90,82,95,90,48,5,5,1
Semester2,2,TC47,American,Caucasian,22,2,58,1,55,48,5.8,8.8,58.11,50,60,92,100,39,3,5,1
Semester2,2,TC48,American,Caucasian,20,2,65,1,62,33,5.8,9.5,56.96,83,50,90,95,77,3,5,1
Semester2,2,TC49,American,Caucasian,20,2,93,1,55,50,7.2,16.7,60.46,100,45,84,73,93,5,5,1
Semester2,2,TC50,American,Caucasian,18,2,91,1,49,43,4,16.7,50.6,100,83,90,100,60,5,5,1
Semester2,2,TC51,Jamaican,Black,19,2,50,1,39,35,4,8.9,46.75,57,40,95,77,48,3,5,1
Semester2,2,TC52,American,Caucasian,20,2,50,1,8,43,9,7.5,53.74,70,70,100,91,33,3,5,1
Semester2,2,TC53,American,Caucasian,21,2,43,2,17,55,6.4,7.4,49.33,61,13,100,91,25,2,5,1
Semester2,2,TC54,Polish,Caucasian,26,2,64,1,72,5,11,9.7,41.88,64,32,90,91,43,3,5,1
Semester2,2,TC55,Filipino,Asian,21,2,55,1,72,57,5.4,10.1,50.23,76,78,100,94,35,3,5,1
Semester2,2,TC56,Taimanis,Asian,19,2,93,1,49,60,4,13.9,39.76,80,57,20,92,43,4,1,0
Semester2,2,TC57,Chinese,Asian,24,2,93,1,50,90,5,14.3,40.6,95,58,40,38,55,4,2,0
Semester2,2,TC58,American,Caucasian,20,2,93,1,44,38,5,14.4,51.11,95,58,60,100,41,4,3,1
Semester2,2,TC59,American,Caucasian,21,2,90,1,82,2,4, ,60.25,100,84,80,82,57,5,4,1
Semester2,2,TC60,American,Asian,22,2,86,1,62,52,5,14,38.82,58,50,100,94,60,4,5,1
Semester3,3,TC61,American,Filipino,21,1,86,1,35,54,6.5,11,51.05,90,51,95,99,45,4,5,1
Semester3,3,TC62,American,Caucasian,20,1,15,2,39,38,8.5,2,52.5,39,50,97,100,38,3,5,1
Semester3,3,TC63,American,Caucasian,19,1,70,1,34,60,6.9,10,49.05,90,51,89,100,20,4,5,1
Semester3,3,TC64,American,Caucasian,19,1,86,1,18,43,2.7,14,60.96,64,52,95,78,52,4,5,1
Semester3,3,TC65,Guyanese,West Indi,18,1,86,1,25,75,6.5,12.7,42.99,92,52,95,35,54,4,5,1
Semester3,3,TC66,American,Caucasian,22,1,50,1,31,48,3.5,9,64.26,50,20,100,100,38,3,5,1
Semester3,3,TC67,American,Caucasian,22,1,14,2,40,28,4.5,3.3,45.1,25,55,100,100,20,3,5,1
Semester3,3,TC68,Vietname,Asian,20,1,21,2,47,81,5,4,52.06,61,20,85,90,43,1,5,1
Semester3,3,TC69,American,East Indi,19,1,64,1,30,40,9,10.2,32.29,66,23,100,100,75,3,5,1
Semester3,3,TC70,American,Caucasian,19,1,85,1,47,80,.8,17.3,60.63,100,84,77,92,48,5,4,1
Semester3,3,TC71,American,Caucassia,20,1,57,1,44,44,4,9.2,41.71,72,25,31,93,28,3,2,0
Semester3,3,TC72,American,Caucassia,21,1,88,1,21,35,7.9,17.3,48.51,100,84,100,91,26,5,5,1
Semester3,3,TC73,American,Puerto Ri,16,1,39,2,30,60,11,7.7,59.19,50,47,90,94,40,3,5,1
Semester3,3,TC74,American,Puerto Ri,16,1,79,1,31,50,2,12,55.64,60,47,97,91,25,3,5,1
Semester3,3,TC75,American,Latin/His,19,1,80,1,19,51,4,12.7,50.02,92,52,95,78,44,4,5,1
Semester3,3,TC76,American,Caucasian,21,2,45,2,1,71,5.7,8.3,67.5,65,15,96,94,35,3,5,1
Semester3,3,TC77,American,Chinese,21,2,18,2,24,27,9,4.7,51.78,50,35,86,94,60,3,5,1
Semester3,3,TC78,Colombian,Latin/His,22,2,100,1,23,22,6.5,17.3,41.39,100,87,95,85,50,5,5,1
Semester3,3,TC79,American,Caucasian,18,2,92,1,72,66,6.7,13.7,44,93,55,100,100,51,4,5,1
Semester3,3,TC80,American,Caucasian,19,2,100,1,46,65,8.7, ,51.44,100,91,95,70,71,5,5,1
Semester3,3,TC81,American,Caucasian,21,2,92,1,29,85,3.4,13.7,58.92,94,56,100,25,27,4,5,1
Semester3,3,TC82,American,Caucasian,20,2,77,1,71,52,6,11.4,42.67,60,43,90,95,22,3,5,1
Semester3,3,TC83,American,Caucasian,21,2,100,1,71,46,6.7,18.1,40.61,100,92,72,100,66,5,4,1
Semester3,3,TC84,American,Caucasian,21,2,33,2,46,65,6.7,6.4,56.78,70,25,78,41,65,2,4,1
Semester3,3,TC85,Pakistan,Asian,20,2,100,1,27,60,1,18.1,72.44,100,92,95,85,85,5,5,1
Semester3,3,TC86,Egyptian,Asian,17,2,100,1,48,16,4,18.1,52.18,100,93,81,94,25,5,5,1
Semester3,3,TC87,Pakistan,Asian,20,2,89,1,50,40,5,11,66.22,43,53,40,82,46,4,2,0
Semester3,3,TC88,American,Asian,20,2,100,1,43,38,5,18.1,48.31,100,97,60,100,65,5,3,1
Semester3,3,TC89,American,Indian,21,2,78,1,80,16,4,11.5,45.04,85,45,80,30,60,3,4,1
Semester3,3,TC90,American,Caucasian,24,2,100,1,61,55,5,19,34.91,100,98,100,40,75,5,5,1
Semester4,4,TC91,American,Caucasian,24,1,22,2,96,27,2.8,6.2,48.42,40,59,99,66,40,3,5,1
Semester4,4,TC92,Polish,Caucasian,20,1,67,1,39,9,3.5,10.4,52.52,73,34,68,95,38,3,4,1
Semester4,4,TC93,Haitian,Black,19,1,46,2,18,55,3.7,8.7,43.78,80,15,23,96,16,3,2,0
Semester4,4,TC94,British,European,21,1,69,1,24,1,5.4,10.5,57.58,53,35,94,99,55,3,5,1
Semester4,4,TC95,Italian,Caucasian,19,1,60,1,61,55,2.7,11.4,38.02,64,45,40,35,85,3,2,0
Semester4,4,TC96,American,Caucasian,21,1,69,1,76,50,4.4,10.6,65,66,36,86,95,49,3,5,1
Semester4,4,TC97,American,Caucasian,21,1,100,1,27,97,5.7,20,66,100,98,95,97,55,5,5,1
Semester4,4,TC98,American,Caucasian,21,1,69,1,58,22,4.9,10.8,67,77,38,81,91,100,3,5,1
Semester4,4,TC99,Vietnames,Asian,22,1,92,1,94,96,4,13.7,68,94,57,100,100,55,4,5,1
Semester4,4,TC100,American,Latin/His,23,1,100,1,43,57,5.4,20,69,100,48,28,25,50,5,2,0
Semester4,4,TC101,American,Latin/His,23,1,25,2,60,66,2,5,70,27,21,43,100,83,3,3,0
Semester4,4,TC102,American,Caucasian,19,1,76,1,1,93,1.8,11.2,71,70,38,66,96,65,3,4,1
Semester4,4,TC103,American,Caucasian,22,1,77,1,37,29,4.7,11.5,72,75,56,94,95,96,3,5,1
Semester4,4,TC104,American,Caucasian,23,1,33,2,57,30,1.3,8,73,43,26,96,92,57,3,5,1
Semester4,4,TC105,American,Caucasian,18,1,35,2,24,95,5.4,5,76,40,20,32,90,66,3,2,0
Semester4,4,TC106,Belizean,Latin/His,20,2,81,1,100,73,4,12.6,77,70,43,95,84,93,4,5,1
Semester4,4,TC107,Indian,Asian,21,2,75,1,35,100,10,12.6,78,86,31,96,90,29,4,5,1
Semester4,4,TC108,American,Caucasian,20,2,83,1,55,13,3.2,12.7,81,65,40,55,95,30,4,3,1
Semester4,4,TC109,Afgan,Asian,19,2,75,1,71,38,9.4,12.7,82,75,86,76,100,95,4,4,1
Semester4,4,TC110,Pakistan,Asian,18,2,85,1,79,50,8.7,12.7,83,76,47,92,100,73,4,5,1
Semester4,4,TC111,Jamaican,Black,19,2,86,1,40,90,6.7,14,84,70,35,75,90,82,4,4,1
Semester4,4,TC112,American,Caucasian,17,2,87,1,50,7,6.7,14.1,91,75,28,50,100,60,4,3,1
Semester4,4,TC113,American,Caucasian,19,2,88,1,53,60,7.4,13,92,47,27,91,20,38,4,5,1
Semester4,4,TC114,Polish,Caucasian,21,2,80,1,52,29,5.9,13.2,93,95,29,100,40,50,4,5,1
Semester4,4,TC115,Italian,Caucasian,19,2,91,1,49,69,6.2,13.7,96,90,62,25,60,90,4,2,0
Semester4,4,TC116,American,Caucasian,19,2,92,1,89,88,6.7,14,97,90,90,49,80,72,4,3,0
Semester4,4,TC117,American,Caucasian,20,2,93,1,75,28,7.4,14.5,98,83,9,85,100,60,4,5,1
Semester4,4,TC118,American,Caucasian,20,2,94,1,37,20,4.5,13,35,58,42,100,95,82,4,5,1
Semester4,4,TC119,American,Caucasian,20,2,95,1,60,50,8.2,14.7,36,90,97,100,97,69,4,5,1
Semester4,4,TC120,Dominican,Latin/His,21,2,93,1,40,73,5,14.1,37,80,38,60,89,88,4,3,1
